调整日期,上次调整日期,周期天数,汽油,汽油涨跌,国内调价幅度_CNY_per_ton,推断调价窗口数,标准窗口天数,推断等效天数,相对标准窗口偏差天数,推断类型
2017-09-16,2017-08-05,42,7030,↑95,95.0,3,14,42,0,疑似跨多窗口
2017-08-05,2017-07-22,14,6935,↑175,175.0,1,14,14,0,标准单窗口
2017-07-22,2017-06-24,28,6760,↑75,75.0,2,14,28,0,疑似跨多窗口
2017-06-24,2017-06-10,14,6685,↓250,-250.0,1,14,14,0,标准单窗口
2017-06-10,2017-05-26,15,6935,↓180,-180.0,1,14,14,1,标准单窗口
2017-05-26,2017-05-12,14,7115,↑140,140.0,1,14,14,0,标准单窗口
2017-05-12,2017-04-13,29,6975,↓250,-250.0,2,14,28,1,疑似跨多窗口
2017-04-13,2017-03-29,15,7225,↑200,200.0,1,14,14,1,标准单窗口
2017-03-29,2017-03-15,14,7025,↓230,-230.0,1,14,14,0,标准单窗口
2017-03-15,2017-02-15,28,7255,↓85,-85.0,2,14,28,0,疑似跨多窗口
2017-02-15,2017-01-26,20,7340,↑50,50.0,1,14,14,6,单窗口但偏离较大
2017-01-26,2017-01-13,13,7290,↓70,-70.0,1,14,14,-1,标准单窗口
2017-01-13,2016-12-29,15,7360,↑240,240.0,1,14,14,1,标准单窗口
2016-12-29,2016-12-15,14,7120,↑100,100.0,1,14,14,0,标准单窗口
2016-12-15,2016-12-01,14,7020,↑435,435.0,1,14,14,0,标准单窗口
2016-12-01,2016-11-17,14,6585,↑175,175.0,1,14,14,0,标准单窗口
2016-11-17,2016-10-20,28,6410,↓365,-365.0,2,14,28,0,疑似跨多窗口
2016-10-20,2016-09-19,31,6775,↑355,355.0,2,14,28,3,疑似跨多窗口
2016-09-19,2016-09-02,17,6420,↓155,-155.0,1,14,14,3,标准单窗口
2016-09-02,2016-08-19,14,6575,↑205,205.0,1,14,14,0,标准单窗口
2016-08-19,2016-08-05,14,6370,↑175,175.0,1,14,14,0,标准单窗口
2016-08-05,2016-07-22,14,6195,↓220,-220.0,1,14,14,0,标准单窗口
2016-07-22,2016-06-09,43,6415,↓155,-155.0,3,14,42,1,疑似跨多窗口
2016-06-09,2016-05-26,14,6570,↑110,110.0,1,14,14,0,标准单窗口
2016-05-26,2016-05-12,14,6460,↑210,210.0,1,14,14,0,标准单窗口
2016-05-12,2016-04-27,15,6250,↑120,120.0,1,14,14,1,标准单窗口
2016-04-27,2016-01-14,104,6130,↑165,165.0,7,14,98,6,多窗口但偏离较大
2016-01-14,2015-12-02,43,5965,↓140,-140.0,3,14,42,1,疑似跨多窗口
