调整日期,上次调整日期,周期天数,推断调价窗口数,标准窗口天数,推断类型,汽油,汽油涨跌,汽油价格_CNY_per_ton,国内调价幅度_CNY_per_ton,汇率日期,USD_CNY,汇率间隔天数,p_i_prime_国内汽油价格_USD_per_bbl,p_prev_prime_上一国内汽油价格_USD_per_bbl,delta_p_i_prime_国内调价幅度_USD_per_bbl,delta_p_i_prime_价格差_USD_per_bbl,布伦特均价_USD_per_bbl,布伦特样本天数,迪拜均价_USD_per_bbl,迪拜样本天数,米纳斯均价_USD_per_bbl,米纳斯样本天数,米纳斯来源集合,p_i_布伦特迪拜米纳斯433均价_USD_per_bbl,p_prev_上一窗口433均价_USD_per_bbl,delta_p_i_国际433价格变动_USD_per_bbl,433样本天数,线性拟合_delta_p_i_prime_USD_per_bbl,残差_epsilon_USD_per_bbl,残差绝对值_USD_per_bbl,残差平方
2020-02-05,2019-12-31,36.0,3,14,多窗口但偏离较大,7520,↓420,7520.0,-420.0,2020-02-05,6.9738,0,147.1107392130757,155.56348306716956,-8.216291285836675,-8.452743854093853,62.538399999999996,25,64.13916666666667,24,61.514799999999994,25,商务部,62.651,65.8638947368421,-3.2128947368420953,24,-4.237807108704169,-3.978484177132506,3.978484177132506,15.828336347693712
2019-12-31,2019-12-03,28.0,2,14,疑似跨多窗口,7940,↑235,7940.0,235.0,2019-12-31,6.9632,0,155.56348306716956,148.8620534474085,4.604208881710939,6.701429619761058,67.65315789473685,19,64.08368421052631,19,65.25842105263158,19,national_oil.csv,65.8638947368421,62.69633333333333,3.1675614035087705,19,4.39917714440528,0.20503173730565916,0.20503173730565916,0.042038013302576824
2019-12-03,2019-11-19,14.0,1,14,标准单窗口,7705,↑55,7705.0,55.0,2019-12-03,7.0613,0,148.8620534474085,148.50819730306006,1.062610375030171,0.35385614434844115,64.34700000000001,10,61.583333333333336,9,61.75599999999999,10,national_oil.csv,62.69633333333333,61.6047,1.091633333333327,9,1.5890711491139737,-0.5264607740838028,0.5264607740838028,0.27716094664891683
2019-11-19,2019-11-05,14.0,1,14,标准单窗口,7650,↑70,7650.0,70.0,2019-11-19,7.0276,0,148.50819730306006,147.525059846421,1.3588985374136215,0.9831374566390707,62.472,10,61.275999999999996,10,60.777,10,national_oil.csv,61.6047,60.225111111111104,1.3795888888888967,10,1.9788657882778242,-0.6199672508642027,0.6199672508642027,0.38435939214411724
2019-11-05,2019-10-22,14.0,1,14,标准单窗口,7580,↑105,7580.0,105.0,2019-11-05,7.0097,0,147.525059846421,144.10006061455795,2.043552939825093,3.4249992318630404,61.06600000000001,10,59.88099999999999,10,59.300000000000004,9,national_oil.csv,60.225111111111104,58.83645454545455,1.3886565656565537,9,1.9911403623414636,0.052412577483629263,0.052412577483629263,0.002747078278477441
2019-10-22,2019-09-19,33.0,2,14,多窗口但偏离较大,7475,↓150,7475.0,-150.0,2019-10-22,7.0769,0,144.10006061455795,146.58365501316678,-2.891640012332266,-2.4835943986088296,60.44043478260869,23,59.353043478260865,23,56.569545454545455,22,national_oil.csv,58.83645454545455,60.77609090909091,-1.9396363636363603,22,-2.514244987499313,-0.37739502483295295,0.37739502483295295,0.14242700476866518
2019-09-19,2019-09-04,15.0,1,14,标准单窗口,7625,↑125,7625.0,125.0,2019-09-19,7.0966,0,146.58365501316678,143.18392949394217,2.403010737920767,3.399725519224603,63.656363636363636,11,60.061818181818175,11,57.65,11,national_oil.csv,60.77609090909091,57.754333333333335,3.021757575757576,11,4.201807969438911,-1.7987972315181442,1.7987972315181442,3.23567148011734
2019-09-04,2019-08-21,14.0,1,14,标准单窗口,7500,↑115,7500.0,115.0,2019-09-04,7.146,0,143.18392949394217,142.6412122892174,2.1954869189071133,0.5427172047247666,59.47399999999999,10,58.75333333333333,9,54.265,10,national_oil.csv,57.754333333333335,57.293375,0.4609583333333376,9,0.7353500476740117,1.4601368712331015,1.4601368712331015,2.1319996827343908
2019-08-21,2019-08-07,14.0,1,14,标准单窗口,7385,↓210,7385.0,-210.0,2019-08-21,7.0632,0,142.6412122892174,146.75969472901397,-4.056148216754997,-4.118482439796566,58.434000000000005,10,58.666,10,53.92125,8,national_oil.csv,57.293375,61.29744999999999,-4.004074999999993,8,-5.308798167015868,1.2526499502608708,1.2526499502608708,1.569131897888562
2019-08-07,2019-07-10,28.0,2,14,疑似跨多窗口,7595,↓80,7595.0,-80.0,2019-08-07,7.0602,0,146.75969472901397,152.34716765376052,-1.5458559023464278,-5.5874729247465496,62.617,20,62.12050000000001,20,58.714999999999996,20,national_oil.csv,61.29744999999999,62.52875,-1.2313000000000116,20,-1.555396609882298,0.009540707535870219,0.009540707535870219,9.102510028501078e-05
2019-07-10,2019-06-26,14.0,1,14,标准单窗口,7675,↑150,7675.0,150.0,2019-07-10,6.8729,0,152.34716765376052,149.21338372469245,2.9774690746663293,3.1337839290680733,64.91,10,62.59,8,59.49300000000001,10,national_oil.csv,62.52875,61.3812,1.1475500000000025,8,1.6647634442826837,1.3127056303836455,1.3127056303836455,1.723196072040924
2019-06-26,2019-06-12,14.0,1,14,标准单窗口,7525,↓120,7525.0,-120.0,2019-06-26,6.8801,0,149.21338372469245,150.76890861512868,-2.3794825311578864,-1.5555248904362315,64.48499999999999,10,61.041999999999994,10,57.581999999999994,10,national_oil.csv,61.3812,63.022375,-1.641174999999997,10,-2.110229029833458,-0.2692535013244286,0.2692535013244286,0.07249744797546408
2019-06-12,2019-05-28,15.0,1,14,标准单窗口,7645,↓465,7645.0,-465.0,2019-06-12,6.9177,0,150.76890861512868,160.11287740688056,-9.170378352653348,-9.343968791751877,64.7481818181818,11,62.82181818181819,11,59.07625,8,national_oil.csv,63.022375,69.41550000000001,-6.393125000000012,8,-8.542765578749634,-0.6276127739037136,0.6276127739037136,0.39389779396711394
2019-05-28,2019-05-14,14.0,1,14,标准单窗口,8110,↑50,8110.0,50.0,2019-05-28,6.9102,0,160.11287740688056,159.91720812331798,0.9871324131127038,0.19566928356258018,71.81777777777779,9,70.40666666666667,9,65.24222222222222,9,national_oil.csv,69.41550000000001,69.32327272727274,0.09222727272727127,8,0.2362126358600955,0.7509197772526084,0.7509197772526084,0.563880511869107
2019-05-14,2019-04-27,17.0,1,14,标准单窗口,8060,↓75,8060.0,-75.0,2019-05-14,6.876,0,159.91720812331798,164.91168335724265,-1.4880633510234305,-4.994475233924675,71.58916666666667,12,70.33083333333333,12,65.46545454545456,11,national_oil.csv,69.32327272727274,70.27600000000001,-0.9527272727272731,11,-1.1783031535721213,-0.3097601974513091,0.3097601974513091,0.095951379925074
2019-04-27,2019-04-13,14.0,1,14,标准单窗口,8135,↑195,8135.0,195.0,2019-04-26,6.7298,1,164.91168335724265,161.568469257997,3.953015151157015,3.3432140992456425,72.01666666666667,9,70.66666666666667,9,67.56444444444443,9,national_oil.csv,70.27600000000001,68.5446,1.7314000000000078,9,2.4550992988444387,1.4979158523125764,1.4979158523125764,2.243751900609312
2019-04-13,2019-03-29,15.0,1,14,标准单窗口,7940,↓50,7940.0,-50.0,2019-04-12,6.7044,1,161.568469257997,162.39938732951038,-1.0174336855037596,-0.8309180715133664,70.434,10,69.47,10,65.1,10,national_oil.csv,68.5446,65.09810000000002,3.446499999999986,10,4.77676586415888,-5.79419954966264,5.79419954966264,33.572748421310735
2019-03-29,2019-03-01,28.0,2,14,疑似跨多窗口,7990,↑80,7990.0,80.0,2019-03-29,6.7121,0,162.39938732951038,160.91000773181742,1.6260264063029821,1.4893795976929596,66.25999999999999,20,66.71300000000002,20,61.934000000000005,20,national_oil.csv,65.09810000000002,64.154,0.9441000000000201,20,1.3893608072858976,0.2366655990170845,0.2366655990170845,0.05601060575811543
2019-03-01,2019-02-15,14.0,1,14,标准单窗口,7910,↑270,7910.0,270.0,2019-03-01,6.7064,0,160.91000773181742,153.88925895271916,5.4925034244741715,7.0207487790982555,65.57300000000001,10,64.74111111111112,9,61.837,10,national_oil.csv,64.154,60.925272727272734,3.2287272727272622,9,4.4819750882586815,1.01052833621549,1.01052833621549,1.0211675182944464
2019-02-15,2019-01-29,17.0,1,14,标准单窗口,7640,↑50,7640.0,50.0,2019-02-15,6.773,0,153.88925895271916,153.79267009545296,1.0071286580675336,0.09658885726619815,62.426153846153845,13,62.17153846153846,13,57.601818181818196,11,national_oil.csv,60.925272727272734,58.699888888888886,2.2253838383838485,11,3.1237866998015082,-2.1166580417339746,2.1166580417339746,4.480241265637105
2019-01-29,2019-01-15,14.0,1,14,标准单窗口,7590,↑245,7590.0,245.0,2019-01-29,6.7329,0,153.79267009545296,148.2097891909965,4.964322025479048,5.582880904456459,60.910000000000004,10,59.087777777777774,9,55.665,10,national_oil.csv,58.699888888888886,55.6952,3.004688888888886,9,4.178702727985433,0.7856192974936151,0.7856192974936151,0.6171976805943614
2019-01-15,2018-12-29,17.0,1,14,标准单窗口,7345,↑105,7345.0,105.0,2019-01-15,6.761,0,148.2097891909965,143.59550653166175,2.1187240115799364,4.614282659334748,57.355999999999995,10,56.95,11,52.263,10,national_oil.csv,55.6952,53.92385714285716,1.771342857142841,10,2.5091684469708735,-0.3904444353909371,0.3904444353909371,0.15244685712774766
2018-12-29,2018-12-15,14.0,1,14,标准单窗口,7240,↓370,7240.0,-370.0,2018-12-28,6.8785,1,143.59550653166175,150.29592794216768,-7.338444394573875,-6.700421410505925,53.61142857142857,7,57.69222222222223,9,49.68625,8,national_oil.csv,53.92385714285716,58.6014,-4.677542857142839,7,-6.220446354726514,-1.117998039847361,1.117998039847361,1.2499196171025415
2018-12-15,2018-12-01,14.0,1,14,标准单窗口,7610,↓125,7610.0,-125.0,2018-12-14,6.9077,1,150.29592794216768,151.60583111110415,-2.4687241777622817,-1.3099031689364722,59.987999999999985,10,59.81,10,55.544,10,national_oil.csv,58.6014,60.62366666666667,-2.022266666666674,10,-2.6260985306322397,0.15737435286995805,0.15737435286995805,0.024766686941238073
2018-12-01,2018-11-17,14.0,1,14,标准单窗口,7735,↓540,7735.0,-540.0,2018-11-30,6.9605,1,151.60583111110415,162.71580244748165,-10.583988209437136,-11.109971336377498,59.934000000000005,10,65.9388888888889,9,56.5,10,national_oil.csv,60.62366666666667,67.28833333333333,-6.664666666666655,9,-8.910341351934703,-1.6736468575024332,1.6736468575024332,2.80109380362777
2018-11-17,2018-11-03,14.0,1,14,标准单窗口,8275,↓510,8275.0,-510.0,2018-11-16,6.938,1,162.71580244748165,173.92998068001216,-10.028405951445999,-11.214178232530514,68.27599999999998,10,69.286,10,64.51333333333335,9,national_oil.csv,67.28833333333333,75.3323,-8.043966666666677,9,-10.77744804748499,0.7490420960389912,0.7490420960389912,0.5610640616384853
2018-10-01,2018-09-18,13.0,1,14,标准单窗口,8995,↑240,8995.0,240.0,2018-10-01,6.8689,0,178.65287075897797,174.07114207052365,4.766724733980513,4.581728688454319,81.2811111111111,9,77.5688888888889,9,74.90555555555554,9,national_oil.csv,78.25477777777776,75.4199,2.8348777777777627,9,3.948835793645981,0.817888940334532,0.817888940334532,0.6689423187215436
2018-09-18,2018-09-04,14.0,1,14,标准单窗口,8755,↑145,8755.0,145.0,2018-09-18,6.8616,0,174.07114207052365,171.6208859149862,2.882960091402162,2.45025615553746,77.59100000000001,10,75.955,10,71.99000000000001,10,national_oil.csv,75.4199,73.357125,2.062775000000002,10,2.9036692120163057,-0.02070912061414365,0.02070912061414365,0.00042886767661114947
